label,area,perimeter,eccentricity,solidity,extent,equivalent_diameter_area,mean_intensity,major_axis_length,minor_axis_length,centroid-0,centroid-1
1,127,39.79898987322333,0.7051402894283999,0.9694656488549618,0.7514792899408284,12.716187407449045,70.43307086614173,15.111737039975337,10.715246427256922,14.0,32.0
2,380,73.59797974644665,0.5997904550091324,0.945273631840796,0.6959706959706959,21.996159369293583,63.73684210526316,25.06776868633872,20.058153493396897,20.013157894736842,244.94210526315788
3,149,43.21320343559643,0.626310275873673,0.9612903225806452,0.764102564102564,13.773623058786647,76.49664429530202,15.594516187623176,12.15707753068381,19.93959731543624,199.1275167785235
4,191,49.45584412271571,0.37806783751717554,0.955,0.7490196078431373,15.594510349620345,62.18324607329843,16.239258519606246,15.033946563067781,27.926701570680628,53.18848167539267
5,406,72.52691193458118,0.4545316060597746,0.973621103117506,0.8023715415019763,22.736210219877808,71.75862068965517,24.096322550334904,21.463332077277155,33.92118226600985,116.94334975369458
6,201,51.45584412271571,0.6097853965043321,0.9481132075471698,0.7444444444444445,15.99753570059363,53.711442786069654,17.971639730040526,14.243720884513479,32.09452736318408,157.98507462686567
7,160,44.87005768508881,0.6320653346016618,0.975609756097561,0.7142857142857143,14.27299292922217,76.1875,16.252084957542774,12.593986046236985,54.04375,145.95625
8,227,55.45584412271572,0.7692609558361554,0.961864406779661,0.7721088435374149,17.000746355818674,69.79735682819383,21.290733001248178,13.603388618793378,67.95594713656388,97.00440528634361
9,144,43.79898987322333,0.7574285161419622,0.9473684210526315,0.7700534759358288,13.540550005146152,53.75694444444444,16.754516847579147,10.939327276097432,83.94444444444444,220.97222222222223
10,434,87.7401153701776,0.7133250334349588,0.8785425101214575,0.6739130434782609,23.507147049675353,65.97235023041475,29.336605461584664,20.560071738672693,91.74193548387096,71.9815668202765
11,446,86.66904755831214,0.664731457092497,0.902834008097166,0.6408045977011494,23.829914749152643,64.73542600896862,28.99945907600402,21.664985049714073,94.16143497757848,106.48206278026906
12,63,27.31370849898476,0.7917431360155087,1.0,0.8181818181818182,8.95623198216277,69.9047619047619,11.42705227305526,6.980262434210472,88.0,8.0
13,209,54.2842712474619,0.6751639856533659,0.9414414414414415,0.7256944444444444,16.312788383647018,77.11004784688996,19.02355348860068,14.033060391413473,95.07177033492823,40.961722488038276
14,280,64.2842712474619,0.8498520970912644,0.958904109589041,0.7466666666666667,18.881394877652593,69.25357142857143,26.120772089818285,13.76620233238855,102.49285714285715,148.9607142857143
15,254,56.87005768508881,0.5184279605876109,0.9657794676806084,0.7863777089783281,17.983404693292407,64.65748031496064,19.448203818140932,16.630573467720826,118.05511811023622,213.0236220472441
16,113,36.97056274847714,0.5381936133960564,0.9576271186440678,0.7902097902097902,11.994835078277376,54.176991150442475,13.056038247212324,11.003906282300182,128.09734513274336,99.08849557522124
17,276,60.2842712474619,0.6558202767753115,0.9616724738675958,0.7645429362880887,18.746042631630413,55.68115942028985,21.580222448749986,16.29127804358212,131.06884057971016,174.0072463768116
18,167,46.04163056034261,0.5267695275161699,0.9597701149425287,0.7455357142857143,14.581872443920643,74.11377245508982,15.819218927541334,13.446465106366647,158.1377245508982,206.1676646706587
19,140,42.62741699796952,0.6501259061912181,0.9333333333333333,0.717948717948718,13.351162356249091,64.98571428571428,15.323822670098076,11.643446505673925,175.0142857142857,102.12142857142857
20,156,44.62741699796952,0.6796928877860307,0.9629629629629629,0.7428571428571429,14.093451279891855,72.08333333333333,16.46479093326521,12.076871716799788,176.94230769230768,14.955128205128204
21,323,64.2842712474619,0.5392015655536283,0.9758308157099698,0.8095238095238095,20.279456919490165,70.55727554179566,22.10597696881756,18.617139753392532,183.94736842105263,241.0123839009288
22,96,35.45584412271571,0.6863797745773383,0.9504950495049505,0.6713286713286714,11.055812783082736,50.125,12.993334938981734,9.449315668760407,184.94791666666666,30.979166666666668
23,119,38.14213562373095,0.6263374588247521,0.967479674796748,0.8321678321678322,12.309163489997376,64.26050420168067,13.938633684508378,10.865890364738767,206.01680672268907,226.91596638655463
24,465,87.84062043356595,0.8367172628952759,0.9244532803180915,0.7894736842105263,24.33220886606579,55.64731182795699,33.40633962361259,18.29448472666288,216.38494623655913,32.75483870967742
25,577,106.32590180780451,0.8528248213022559,0.8611940298507462,0.6285403050108932,27.104597715372734,62.97573656845754,39.53819528262037,20.646731405026998,226.41767764298095,79.74350086655113
26,195,51.698484809834994,0.35946466891068124,0.9375,0.7169117647058824,15.756957549709801,51.13333333333333,16.345542620234838,15.252985235899315,230.85128205128206,176.00512820512822
27,105,36.384776310850235,0.7614032422801383,0.9813084112149533,0.7777777777777778,11.562445770562215,62.74285714285714,14.364719838031728,9.312340016481759,229.89523809523808,239.1238095238095
28,279,61.94112549695428,0.7588207169973376,0.9721254355400697,0.7581521739130435,18.847647942942654,58.09318996415771,23.378217286741165,15.226222679092237,235.00358422939067,204.00716845878136
